Solution 1:
0 - 27
1 - 17
2 - 24
3 - 66
4 - 24
5 - 51
6 - 47
7 - 51
8 - 60
9 - 65
10 - 32
11 - 60
12 - 1
13 - 2
14 - 36
15 - 55
16 - 25
17 - 76
18 - 44
19 - 45
20 - 8
21 - 60
22 - 46
23 - 8
24 - 70
25 - 25
26 - 44
27 - 45
28 - 67
29 - 70
30 - 8
31 - 2
32 - 49
33 - 62
34 - 27
35 - 72
36 - 44
37 - 2
38 - 77
39 - 71
40 - 44
41 - 62
42 - 55
43 - 17
44 - 32
45 - 71
46 - 47
47 - 44
48 - 45
49 - 60
50 - 71
51 - 67
52 - 77
53 - 62
54 - 26
55 - 66
56 - 44
57 - 49
58 - 77
59 - 46
60 - 47
61 - 35
62 - 17
63 - 54
64 - 54
65 - 14
66 - 72
67 - 1
68 - 36
69 - 20
70 - 36
71 - 27
72 - 33
73 - 44
74 - 76
75 - 18
76 - 18
77 - 49
78 - 18
79 - 72
80 - 69
81 - 25
82 - 49
83 - 27
84 - 46
85 - 2
86 - 20
87 - 54
88 - 26
89 - 65
90 - 67
91 - 39
92 - 1
93 - 67
94 - 69
95 - 14
96 - 35
97 - 33
98 - 33
99 - 35
Power Wastage: 34.0831	Memory Wastage: 7.00467
